"","Tesla","Musk","Gigafactory","Elon Mask"
"https://en.wikipedia.org/wiki/Elon_Musk","455","1258","29","0"
"https://en.wikipedia.org/wiki/Tesla_Inc.","2315","553","105","0"
"https://en.wikipedia.org/wiki/Tesla,_Inc.","2312","553","105","0"
"https://en.wikipedia.org/wiki/Tesla,_Inc.#2018_consideration_of_taking_Tesla_private","2312","553","105","0"
"https://en.wikipedia.org/wiki/Tesla_Model_S","1722","111","14","0"
"https://en.wikipedia.org/wiki/Tesla_Autopilot","1324","230","0","0"
"https://en.wikipedia.org/wiki/Criticism_of_Tesla,_Inc.","943","378","51","0"
"https://en.wikipedia.org/wiki/Criticism_of_Tesla,_Inc.#Workplace_culture_and_Musk's_work_behavior","943","378","51","0"
"https://en.wikipedia.org/wiki/Tesla_Model_3","1172","155","30","0"
"https://en.wikipedia.org/wiki/Gigafactory_1","548","95","329","0"
"https://en.wikipedia.org/wiki/Tesla_Roadster_(2008)","868","70","0","0"
